ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 8_Out_Channel Alignment_P2-6.czi",4,7,25476.741646265,230,274.5,83, , ,"White", , ,2766,5297,9018,2230.4615384615,3916,4999,1671,2271,2921,26,26,26,1095,3026,6097,340.16328205957,886.78186720298,1958.5201556277,57992,101816,129974,132241702,418371008,745635056
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52083278.797074,305.77872368446,231.20396779109,84,31.30295,31.30295,"Yellow",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,29396.240361075,229.86666666667,274.86666666667,84, , ,"White", , ,2951,5024,9158,2324.9,3584.8333333333,4932.2333333333,1644,2162,3041,30,30,30,1307,2862,6117,426.84781669898,844.34177927536,1900.5666973996,69747,107545,147967,167438573,406205379,834560229
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52363522.955183,306.21758453564,231.20212765957,85,31.30295,31.30295,"Yellow",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,32335.864397183,356.5303030303,170.07575757576,85, , ,"White", , ,2926,12200,0,2108.9090909091,7083.5757575758,0,478,2291,0,33,33,33,2448,9909,0,714.88335428045,3077.1223776272,0,69594,233758,0,163121282,1958840330,0
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,34295.613754588,316.18571428571,194.67142857143,85, , ,"White", , ,7174,5951,0,4662.0571428571,4706.4,0,3181,3518,0,35,35,35,3993,2433,0,1127.2290059845,717.52582244986,0,163172,164724,0,803919126,792761706,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52482087.791306,306.57621359223,231.23172143391,86,31.30295,31.30295,"Yellow",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,38215.112469398,315.55128205128,195.44871794872,86, , ,"White", , ,7299,6536,0,4317.7948717949,4895.3076923077,0,2764,2739,0,39,39,39,4535,3797,0,1242.9742381945,1037.2366413709,0,168394,190917,0,785800178,975480133,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52649646.361364,306.80602445516,231.08844987065,87,31.30295,31.30295,"Yellow",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,38215.112469398,316.03846153846,194.26923076923,87, , ,"White", , ,7453,7104,0,4490.5128205128,5158.1025641026,0,2266,3000,0,39,39,39,5187,4104,0,1452.9634485169,1188.7979509366,0,175130,201166,0,866645416,1091338002,0
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,45074.235220315,338.60869565217,353.86956521739,87, , ,"White", , ,2733,4109,6639,2075.0434782609,3065.6956521739,3639.7608695652,1169,2068,1578,46,46,46,1564,2041,5061,420.14156114453,572.85390301795,1334.3644876833,95452,141022,167429,206010402,447097804,689525309
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,52986723.250838,307.37992602866,230.83340730467,88,31.30295,31.30295,"Yellow",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,43114.48586291,315.81818181818,194.47727272727,88, , ,"White", , ,7464,7550,0,4185.7727272727,5351.6818181818,0,2089,2927,0,44,44,44,5375,4623,0,1549.267987142,1265.8619413449,0,184174,235474,0,874120452,1329085402,0
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,47033.98457772,338.5,354,88, , ,"White", , ,2254,4437,6566,1772.9791666667,3227.1666666667,3639.7083333333,1095,2056,1464,48,48,48,1159,2381,5102,311.26375827634,656.64564534161,1253.058045867,85103,154904,174706,155439447,520166650,709676144
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53072952.222564,307.26910437014,230.75414028027,89,31.30295,31.30295,"Yellow",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,62711.97943696,354.421875,168.640625,89, , ,"White", , ,4868,10749,444,2910.15625,5589.609375,22,492,2106,0,64,64,64,4376,8643,444,1308.7863664388,2441.4260639926,75.05045921626,186250,357735,1408,649930672,2375114267,385828
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,47033.98457772,338.5,354,89, , ,"White", , ,2010,4681,6043,1527.7916666667,3333.625,3576.2083333333,966,2004,1490,48,48,48,1044,2677,4553,275.60756546554,726.71357654885,1053.3292701802,73334,160014,171658,115609172,558247964,666031390
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53301263.022701,307.65646371057,230.43477461578,90,31.30295,31.30295,"Yellow",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,57812.606043448,354.33050847458,168.41525423729,90, , ,"White", , ,5236,9285,761,3125.1525423729,5038.2033898305,47.457627118644,518,2175,0,59,59,59,4718,7110,761,1414.3174887868,2045.7192460798,140.13605729038,184384,297254,2800,692245176,1740354210,1271892
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,45074.235220315,338.39130434783,354.13043478261,90, , ,"White", , ,1858,4765,5588,1355.847826087,3389.0217391304,3616.6956521739,764,1918,1659,46,46,46,1094,2847,3929,279.87060243313,773.98473970401,893.3263897632,62369,155895,166368,88087613,555288901,637613864
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53378673.122319,307.69943093162,230.20661771455,91,31.30295,31.30295,"Yellow",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,47033.98457772,354.75,168.29166666667,91, , ,"White", , ,5523,7559,1146,3500.6875,4503.0833333333,82.6875,1180,1917,0,48,48,48,4343,5642,1146,1451.8335019165,1581.0638598988,227.5317285567,168033,216148,3969,687298587,1090821314,2761409
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,41154.736505505,337.90476190476,354.85714285714,91, , ,"White", , ,1748,4695,5306,1233.0476190476,3428.5,3818.9047619048,733,2038,2087,42,42,42,1015,2657,3219,282.97668199901,746.90604920663,760.54116835137,51788,143997,160394,67140178,516566329,636244748
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53565829.185951,307.5282991256,229.72244173709,92,31.30295,31.30295,"Yellow",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,42134.611184208,354.38372093023,168.61627906977,92, , ,"White", , ,5765,5733,837,3940.0930232558,3653.4186046512,62.790697674419,1303,1901,0,43,43,43,4462,3832,837,1348.9470640529,1064.6273489004,185.92427518181,169424,157097,2700,743971964,621545221,1621384
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,41154.736505505,337.90476190476,354.85714285714,92, , ,"White", , ,1701,4587,5262,1162.7857142857,3282.4761904762,4010.5476190476,570,2015,2543,42,42,42,1131,2572,2719,306.49239323026,758.17339023681,655.8404476693,48837,137864,168443,60638407,476103200,693183867
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53778461.991229,307.73958238435,229.34426871709,93,31.30295,31.30295,"Yellow",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,37235.237790695,337.44736842105,355.65789473684,93, , ,"White", , ,1607,4448,5471,1156.2368421053,3210.1578947368,4505.6052631579,553,2049,3282,38,38,38,1054,2399,2189,306.90093781708,705.43007875839,618.09041320059,43937,121986,171213,54286541,410006690,785553517
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53910745.072854,307.39425279,229.01045112509,94,31.30295,31.30295,"Yellow",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,29396.240361075,337.13333333333,355.86666666667,94, , ,"White", , ,1660,4181,6002,1185.0666666667,3192.0666666667,5028.8,485,1994,3672,30,30,30,1175,2187,2330,343.70987498313,595.6821608724,668.5706008163,35552,95762,150864,45557448,315968968,771627496
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,53976396.676327,307.37354089135,228.66984660071,95,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,54183150.233533,307.56517650463,228.33423755787,96,31.30295,31.30295,"Yellow",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,25476.741646265,250.5,263,96, , ,"White", , ,2662,4243,3400,1746,3490.6538461539,1480.9230769231,755,2653,96,26,26,26,1907,1590,3304,530.43747982208,444.33140265416,910.69410552949,45396,90757,38504,86295514,321737031,77755556
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,54416360.407065,308.0761515468,228.46771347283,97,31.30295,31.30295,"Yellow",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,27436.49100367,238,220,97, , ,"White", , ,8066,4138,3019,3964.0357142857,3354.8571428571,684.64285714286,1753,2764,0,28,28,28,6313,1374,3019,2027.0280650388,395.44196692606,924.56300846062,110993,93936,19170,550918971,319363968,36204656
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,54753437.296538,308.25976233938,227.66067146283,98,31.30295,31.30295,"Yellow",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,25476.741646265,331.5,333,98, , ,"White", , ,4521,4100,2115,3882.0769230769,3422.3461538462,831.65384615385,2135,2766,0,26,26,26,2386,1334,2115,660.00841952672,424.20843389143,736.68484128874,100934,88981,21623,402723830,309022603,31550465
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55007224.838322,308.47003758662,227.27050786469,99,31.30295,31.30295,"Yellow",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,31355.98971848,332,333,99, , ,"White", , ,4508,4621,2055,3888.4375,3772.875,669,2072,3023,0,32,32,32,2436,1598,2055,623.55861858085,487.51388731254,681.03952800823,124430,120732,21408,495891864,462874508,28700212
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55093453.810048,308.55885282348,226.72041796354,100,31.30295,31.30295,"Yellow",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,29396.240361075,250.13333333333,263.86666666667,100, , ,"White", , ,1286,5579,3810,706.4,4493.1666666667,2207.8666666667,225,3205,1225,30,30,30,1061,2374,2585,314.78603570658,697.67377434034,676.07511995051,21192,134795,66236,17843646,619772113,159495506
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,41154.736505505,332.30952380952,332.64285714286,100, , ,"White", , ,4669,5142,1949,3845.4523809524,3858.2142857143,494.7380952381,2034,2450,0,42,42,42,2635,2692,1949,597.61539154686,765.12293084389,613.23552390713,161509,162045,20779,635718079,649206271,25698533
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55383496.714944,308.8101679022,226.43315758745,101,31.30295,31.30295,"Yellow",0,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,30376.115039778,351.5,258.5,101, , ,"White", , ,3681,4139,12529,1753.3225806452,3174.9032258065,8987.6129032258,917,2169,3783,31,31,31,2764,1970,8746,754.91674539191,559.98252084857,2701.221929392,54353,98422,278616,112395321,321887738,2722990754
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,29396.240361075,250.13333333333,263.86666666667,101, , ,"White", , ,1249,5684,3875,640.2,4570.7,2428.9666666667,150,3187,1679,30,30,30,1099,2497,2196,305.21415884362,702.85178454243,597.21361529929,19206,137121,72869,14997196,641064973,187339631
"Image 8_Out_Channel Alignment_P2-6.czi",4,7,48013.859256423,331.84693877551,332.84693877551,101, , ,"White", , ,4743,5678,1949,3645.2857142857,4049.7142857143,474.73469387755,1226,2658,0,49,49,49,3517,3020,1949,852.35753941641,883.58634741226,644.78374202487,178619,198436,23262,685989931,841083896,30999090
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55563793.655825,308.8155630015,225.87324750904,102,31.30295,31.30295,"Yellow",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,37235.237790695,250.34210526316,263.44736842105,102, , ,"White", , ,1708,5620,4203,708.02631578947,4348.5789473684,2655.052631579,154,3050,1965,38,38,38,1554,2570,2238,419.26180215734,711.43166018415,598.53740416291,26905,165246,100892,25553325,737312272,281128710
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55552035.159681,309.19781101723,225.32927345528,103,31.30295,31.30295,"Yellow",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,48013.859256423,351.41836734694,258.5,103, , ,"White", , ,4640,5023,11048,2181.4081632653,3340.2448979592,6971.9183673469,947,1913,1334,49,49,49,3693,3110,9714,885.14012352017,896.0327265836,3107.5922273572,106889,163672,341624,270775243,585242546,2845316854
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55626505.635262,309.34558473815,224.7424738854,104,31.30295,31.30295,"Yellow",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,45074.235220315,351.13043478261,258.39130434783,104, , ,"White", , ,4709,5303,10232,2409.6739130435,3582.0217391304,5934.9347826087,1024,1981,923,46,46,46,3685,3322,9309,842.7724367783,942.52194761668,3002.0944422347,110845,164773,273007,299062247,630196111,2025844437
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55710774.857631,309.2366986193,224.26640576906,105,31.30295,31.30295,"Yellow",0,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,45074.235220315,351.13043478261,258.39130434783,105, , ,"White", , ,4705,5442,9071,2622.3695652174,3662.6956521739,5142.0869565217,1142,2006,791,46,46,46,3563,3436,8280,786.60048757494,975.41646648587,2765.1403245573,120629,168484,236536,344177133,659920292,1560358726
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,25476.741646265,251,263.5,105, , ,"White", , ,1630,4530,4233,821.73076923077,3806.3076923077,3083.8076923077,198,2930,2031,26,26,26,1432,1600,2202,359.19338052835,470.72282878405,593.30444254064,21365,98964,80179,20781775,382226934,256056871
"Image 8_Out_Channel Alignment_P2-6.czi",4,7,33315.739075885,331.5,332.76470588235,105, , ,"White", , ,4421,7278,1058,3582.4117647059,5474.2058823529,188.97058823529,2376,3740,0,34,34,34,2045,3538,1058,560.75085580108,1026.7966597971,322.33555688125,121802,186123,6425,446721488,1053667897,4642843
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55564773.530504,309.21191761013,223.78203364723,106,31.30295,31.30295,"Yellow",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,37235.237790695,322.5,195,106, , ,"White", , ,2665,6639,0,1608.2368421053,4252.6842105263,0,718,2126,0,38,38,38,1947,4513,0,548.55650546416,1311.5384839489,0,61113,161602,0,109418005,750887202,0
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,35275.48843329,331.63888888889,332.11111111111,106, , ,"White", , ,4204,7377,549,3465.0277777778,5534.0555555556,82.722222222222,2610,3805,0,36,36,36,1594,3572,549,493.6332638775,1020.4080120771,155.06010099518,124741,199226,2978,440759613,1138970890,1087874
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55628465.38462,309.14221169259,223.28610558208,107,31.30295,31.30295,"Yellow",0,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,42134.611184208,322.61627906977,195.38372093023,107, , ,"White", , ,2458,6404,0,1540.7674418605,3944.488372093,0,721,2089,0,43,43,43,1737,4315,0,523.45026767044,1270.0168235124,0,66253,169613,0,113588473,736780101,0
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,41154.736505505,350.85714285714,258.90476190476,107, , ,"White", , ,4881,5236,6723,3159.5714285714,3677.7142857143,3480.6904761905,1847,1929,461,42,42,42,3034,3307,6262,786.45543631544,839.61525119238,2120.3776986153,132702,154464,146189,444640446,596977564,693174725
"Image 8_Out_Channel Alignment_P2-6.czi",4,7,39194.9871481,331.775,331.575,107, , ,"White", , ,3895,7352,490,3251.975,5280.1,93.75,2299,3135,0,40,40,40,1596,4217,490,481.14689305067,1203.3326329993,137.75782354813,130079,211204,3750,432042247,1171650608,1091674
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55755849.092851,309.08955027152,223.2239943059,108,31.30295,31.30295,"Yellow",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,34295.613754588,351.32857142857,258.81428571429,108, , ,"White", , ,4418,4889,5982,3141.4285714286,3566.9714285714,3480.7142857143,1989,2152,609,35,35,35,2429,2737,5373,764.85189976323,773.61631642696,1766.530990245,109950,124844,121825,365290018,465663376,530139497
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,41154.736505505,331.35714285714,331.30952380952,108, , ,"White", , ,3881,7242,1100,3070.3571428571,5120.3095238095,274.19047619048,2066,3012,0,42,42,42,1815,4230,1100,433.38800401131,1196.3728819185,250.32371608362,128955,215053,11516,403638737,1159821555,5726718
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55728412.601847,309.06740456807,223.17946125578,109,31.30295,31.30295,"Yellow",0,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,31355.98971848,322,195,109, , ,"White", , ,2287,5442,0,1534.25,3746.59375,0,883,2137,0,32,32,32,1404,3305,0,427.07958010415,962.69996194758,0,49096,119891,0,80979844,477913399,0
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,25476.741646265,351,258.5,109, , ,"White", , ,4881,4399,5334,3350.3076923077,3468.3461538462,3308.0384615385,2254,2402,1105,26,26,26,2627,1997,4229,810.2753985766,586.47604843217,1364.293941371,87108,90177,86009,308252258,321363905,331053529
"Image 8_Out_Channel Alignment_P2-6.czi",4,7,33315.739075885,331.5,331.23529411765,109, , ,"White", , ,3465,6962,980,2764.6470588235,5210.7058823529,523.64705882353,1827,3554,60,34,34,34,1638,3408,920,393.90007057266,1040.8200301281,227.2139403471,93998,177164,17804,264991484,958898606,11026676
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55797003.829357,309.16336511951,223.03086419753,110,31.30295,31.30295,"Yellow",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,25476.741646265,331,330.5,110, , ,"White", , ,3377,6535,1230,2622.8461538462,5017.5384615385,892.61538461539,2063,3171,421,26,26,26,1314,3364,809,299.47870606208,1019.6890596949,227.36614997366,68194,130456,23208,181104558,680562142,22008202
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55581431.400042,308.6711475063,222.57185797648,111,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55809742.20018,308.51190392584,223.05736006742,112,31.30295,31.30295,"Yellow",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,25476.741646265,330.5,331,112, , ,"White", , ,2809,5337,2241,2018.7307692308,4294.8461538462,1786.2692307692,1709,2876,1215,26,26,26,1100,2461,1026,307.09067816426,679.09850197495,299.5684306054,52487,111666,46443,108314739,491117660,85203233
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55535377.290143,308.11823346743,222.51778530595,113,31.30295,31.30295,"Yellow",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,25476.741646265,331,330.5,113, , ,"White", , ,2503,4585,2775,1797.5769230769,3722.4615384615,2265.9615384615,1365,2543,1778,26,26,26,1138,2042,997,333.84225892801,573.66925877333,313.53104864038,46737,96784,58915,86799619,368502128,135956667
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55653942.126266,308.02629540293,222.1552282691,114,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55617686.763154,307.84755109232,222.36622621565,115,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55629445.259298,307.83261114634,222.12529063623,116,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55757808.842208,307.65951707291,222.16931444739,117,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55517739.545926,307.86406156236,222.52049136927,118,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55549095.535645,307.49384371141,222.16115717058,119,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55577511.901327,307.59837973166,222.4385214831,120,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55493242.678959,307.22874472481,221.89725954832,121,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55286489.121753,307.08301726277,222.18350997838,122,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55291388.495146,306.96176475801,222.21437432435,123,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55462866.563919,307.23273029222,222.22467403979,124,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55328623.732937,307.24784379704,222.41206942354,125,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55273750.750929,307.17331454201,222.40588381287,126,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55329603.607615,307.45381291397,222.70697410831,127,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55398194.835125,307.72744799774,223.01009975945,128,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55178702.907095,307.93466756642,223.40469171757,129,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55386436.33898,308.10453966457,223.8136720685,130,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55505001.175103,308.39352987907,223.55497396063,131,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55748989.9701,308.68022990122,223.94197982213,132,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55647083.003515,308.33023419616,224.38755062511,133,31.30295,31.30295,"Yellow",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,25476.741646265,388.5,280,133, , ,"White", , ,647,4668,7997,123.65384615385,3618.1153846154,4012.1538461539,0,2341,1955,26,26,26,647,2327,6042,193.35024019798,667.08730024926,1893.0826224401,3215,94071,104316,1332155,351484869,508125886
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,56096845.481039,308.39718597705,224.38336914182,134,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,56200712.196982,308.36878214628,224.8466131985,135,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,56236967.560094,308.06225606356,225.30467660998,136,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,56358472.020253,308.50803254747,225.21161068225,137,31.30295,31.30295,"Yellow",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
